abstract;classe
third men mortal affluent countri tea green tea demonstr promis prevent green tea compon catechin categori properti evid epidemiolog not comprehens strengthen anim vitro evid consumpt tea associ decreas risk evid potenti biolog mechan role green tea prevent review;Positive
inhibitori effect green tea cyclooxygenas inhibitor growth human cell vitro vivo cyclooxygenas cox inhibitor hold promis concern new strategi need approach overcom limit dose cox inhibitor agent complementari mechan effect epigallocatechingal egcg promis agent green tea test alon specif cox inhibitor growth human cell vitro vivo human cell lncap pc cwrrnu egcg ns alon effect growth apoptosi vivo athym nude mice implant androgensensit cwrrnu cell green tea drink water celecoxib ip daili per alon effect growth egcg micromol ns micromol result enhanc cell growth inhibit apoptosi express bax procaspas procaspas polyadpribos polymeras cleavag inhibit pparg inhibit nuclear factorkappab compar addit effect agent alon synerg vivo green tea celecoxib result enhanc growth inhibit prostatespecif antigen level insulinlik growth factori level circul level serum insulinlik growth bind protein compar result singleag synergist addit effect combinatori agent underscor need ration design human clinic trial;Positive
combretastatinchalcon hybrid synthesi cytotox seri alltransarylarylarylpentanedieneon hybrid chalcon combretastatin synthes against panel cell line murin hct colon human epidermoid carcinoma human umbil venous endotheli cell huvec structureact seri reveal dihydroxyphenyl pentanedieneon essenti cytotox alltransdihydroxyphenyl methoxyphenyl trimethoxyphenyl pentanedieneon potent compound seri;Positive
effect acetylsalicyl celecoxib nnitrosodiethylamin induc carcinogenesi esophagus effect nonsteroid antiinflammatori acetylsalicyl celecoxib nnitrosodiethylamin induc carcinogenesi esophagus inhibitori effect celecoxib carcinogenesi pronounc acetylsalicyl manifest decreas neoplast chang tissu esophagus delay malign esophagus eros ulcer gastric mucosa after celecoxib indic celecoxib inhibit nnitrosodiethylamin induc carcinogenesi esophagus;Positive
compar antiprolif antiangiogen apoptosi induc potenti black tea hamster buccal pouch carcinogenesi model efficaci black tea polyphenonb pb btf dimethylbenz anthracen dmba induc hamster buccal pouch hbp carcinogenesi hamster right buccal pouch anim paint dmba hamster receiv anim receiv pb btf dmba paint continu until end anim pb btf alon anim serv untreat control anim sacrif aftesr express cyclin glutathion stransferas pi gstp nuclear kappa nfkappab bcl bax cytochrom caspas caspas polyadpribos polymeras parp cytokeratin vascular endotheli growth vegf analys rtpcr immunohistochem western blot analys dmba anim buccal pouch carcinoma display express cyclin gstp nfkappab cytokeratin vegf bcl decreas express bax cytochrom caspas caspas parp pb btf dmba induc hbp carcinoma modul cell prolifer cell surviv infiltr angiogenesi apoptosi result mechanist potenti black tea greater efficaci btf inhibit hbp carcinogenesi modul molecular target potenti role prevent oral ;Positive
licochalcon suppress migrat invas human hepatocellular carcinoma cell downregul mkk jnk via nfkb mediat urokinas plasminogen activ express hepatocellular cell carcinoma hcc common diagnos taiwan bioactiv compound potenti revers suppress prevent licochalcon lica characterist chalcon licoric root glycyrrhiza inflat report lica antiinflammatori antimicrobi antitumor properti effect lica migrat invas human hcc cell not yet report lica inhibit migratori invas abil skhep hat vgh cell dosedepend manner cell migrat matrigel cell invas assay casein zymographi western blot revers transcriptas polymeras chain immunofluoresc assay lica induc dosedepend inhibit upa activ express well mrna level skhep hat vgh cell lica inhibit express phosphorjnk phosphormkk skhep cell furthermor lica decreas upa level sptreat simkktransfect cell alongsid mark reduct cell migrat invas support notion inhibit mkk jnk result antimetastat effect moreov lica inhibit express nuclear nfkb well bind abil nfkb upa promot role lica suppress metastasi molecular mechan well lica promis antimetastat agent;Positive
curcumin regul colon inhibit pglycoprotein insitu colon perfus model pglycoprotein carri out world vide cell line like caco mdrllcpk mdrmdck invitro result fail produc result invivo curcumin inhibitori action pglycoprotein permeabl irinotecan colon curcumin add intrarect administ nnitroso nmethyl urea induc colon singl pass whole length colon insitu perfus carri out irinotecan influenc pglycoprotein modul like verapamil curcumin serv control perfus irinotecan propronolol red ii induc nmethyl nnitroso urea iii perfus irinotican iv perfus irinotican presenc verapamil pretreat curcumin perfus irinotican estim hplcuv effect permeabl coeffici qrtpcr western blot result confirm decreas express pglycoprotein pgp curcumin colon cell irinotecan cm verapamilcoperfus where curcumin pretreat irinotecan cm cm pglycoprotein inhibitori activ verapamil curcumin enhanc colon permeabl irinotecan safe suitabl pglycoprotein inhibitor irinotecan enhanc therapeut benefit colon ;Positive
design synthesi biolog new inhibitor bax bclxl interact cell describ synthesi seri new molecul triazol moieti compound abil inhibit bax bclxl interact cell bret assay induc cell death deriv exhibit promis activ potent compound acylpyrogallol abt preliminari result demonstr deriv famili attract new molecul potent anticanc activ;Positive
isosuillin isol suillus luteus induc phase arrest apoptosi human hepatoma smmc cell isosuillin natur isol suillus luteus inhibit growth cell line molecular mechan action compound poor understood purpos isosuillin inhibit prolifer induc apoptosi human hepatoma cell line smmc demonstr effect isosuillin cell prolifer apoptosi smmc cell appar normal human coloni format assay dimethylthiazolyl diphenyltetrazolium bromid mtt western blot express phaseregul apoptosisassoci protein level isosuillin smmc cell result indic isosuillin decreas viabil induc phase arrest trigger apoptosi smmccell taken togeth result potenti isosuillin candid ;Positive
hypoxia differenti regul cxcr cxcr signal colon hifalpha cxcr cxcl crucial role metastat signific target hifalpha cxcr cxcl axi prevent dissemin vitro cxcr cxcr mrna protein express human colon carcinoma modul express hypoxia hifalpha colon cell line migrat cell boyden chamber after cxcr inhibit sirna cxcr cxcl neutraligand chalcon cohort colon polyp chromosomeunst carcinoma express cxcr cxcr normal mucosa polyp earlystag carcinoma late stage carcinoma demonstr hypoxia strong induc express cxcr transcript protein cell membran regul hifalpha cxcr express independ hypoxia after transient hypoxia cxcr level stabl cell membran up hour furthermor cxcr express impair cxcl induc akt phosphoryl erk activ unchang cxcr express did not akt erk activ presenc cxcr cxcr sirna signific reduct cell migrat occur irinotecan inhibit cell migrat irinotecan chalcon inhibit demonstr hypoxia upregul cxcr not cxcr express cell cxcr receptor protein level cell membran cell return normoxia up hour addit interest inhibit cxcr signal inhibit hifalpha cxcr cxcl pathway cxcr relev target continu express normox hypox condit cell;Positive
proapoptot properti pomegran juic leukemia cell line pomegran great promis anticanc agent clinic trial pomegran juic pgj induc apoptosi preferenti alter cell cycl leukemia cell line compar nontumor control cell agent not yet fulli elucid leukemia cell line fraction pgj solid phase extract demonstr acetonitril fraction decreas adenosin triphosph atp level leukemia cell line acetonitril fraction activ caspas induc nuclear morpholog characterist apoptosi phase arrest induc acetonitril fraction match phase arrest whole pgj acetonitril fraction content whole pgj low level fraction liquid chromatographi mass spectrometri lcms demonstr acetonitril fraction enrich ellagitannin ellag hydroxycinnam deriv deplet anthocyanin individu compound demonstr ellagitannin punicalagin activ mimick acetonitril fraction bioactiv compon pomegran confin acetonitril fraction pgj enrich ellagitannin hydroxycinnam bioactiv pgj individu compound demonstr ellagitannin punicalagin activ agent highlight compound key bioactiv agent pgj;Positive
target esr subtyp esr esr er modul ovarian ovarian cell express esr esr hormon attract option few effect estrogen opposit effect express esr compar esr indic receptor subtyp oppos effect explain modest nonselect estrogen inhibit clinic practic effect target er subtyp ovarian growth ovarian cell line skov ov express er subtyp er modul sodium phenylaminocarbonyl tetrazolium bismethoxynitro benzen sulfon hydrat xtt assay reveal bishydroxyphenyl methyl piperidinylethoxyphenol hpyrazol dihydrochlorid mpp esr antagonist bishydroxyphenyl propionitril dpn esr agonist suppress cell growth cell line propyl pyrazoletriyl trisphenol ppt esr agonist phenylbistrifluoromethylpyrazolo pyrimidinyl phtpp esr antagonist enhanc cell growth result confirm xenograft model where skov cell inject sc ovariectom mice averag size xenograft dpntreat mpptreat smaller vehicletr addit phosphoakt express skov cell after mpp dpn indic akt pathway involv mpp dpn synergist effect suppress ovarian cell growth indic target er subtyp enhanc hormon women ovarian ;Positive
quinoxalinesubstitut chalcon new inhibitor breast resist protein abcg polyspecif bring seri chalcon substitut quinoxalin unit bring synthes test inhibitor breast resist proteinmedi mitoxantron efflux compound appear effici analog bring substitu naphthyl methylenedioxyphenyl intermedi inhibitori activ naphthyl case methoxi phenyl are produc maxim inhibit molecular model indic electrostat steric contribut potenc naphthyl methylenedioxyphenyl shift are methoxi substitu shift phenyl bring indic prefer polyspecif inhibit;Positive
trilobatin attenu lpsmediat suppress nfkb signal pathway antiinflammatori effect trilobatin flavonoid isol leav lithocarpus polystachyus rehd well molecular mechan trilobatin dosedepend inhibit lipopolysaccharid lps induc mrna express secret proinflammatori cytokin tnf interleukinbeta ilbeta interleukin il raw macrophag inhibit detect trilobatin western blot confirm mechan antiinflammatori effect correl inhibit lps induc inhibitor nuclear factorkappa alpha ikbalpha degrad nuclear factorkappa nfkb phosphoryl addit trilobatin signific inhibit lps induc tnf il mrna protein level mous model result trilobatin potenti inhibit lps induc suppress nfkb signal pathway;Positive
pterostilben suppress oral cell invas inhibit mmp express compound varieti natur plant exhibit antioxid free scaveng abil induc apoptosi cell effect pterostilben oral cell metastasi not clarifi antimetastat properti pterostilben human oral squamous cell carcinoma scc cell pterostilben inhibit migrat invas capac scc cell vitro result zymographi western blot reveal activ protein level mmp urokinasetyp plasminogen activ upa inhibit pterostilben western blot pterostilben inhibit phosphoryl akt erk erk mrna level realtim polymeras chain promot assay conduct inhibitori effect pterostilben mmp upa express scc cell inhibitori effect associ upregul tissu inhibitor metalloproteinas plasminogen activ inhibitor downregul transcript nfkb sp creb signal pathway pterostilben potenti agent against oral metastasi;Positive
natur androgen receptor antagonist induc cellular senesc cell natur occur androgen receptorspecif antagonist atrar aa inhibit transactiv androgen receptor ar androgenmedi growth arexpress human pca cell line aa live cell provok molecular chang ar signal addit deceler nuclear transloc block intramolecular amino carboxi termin interact ar furthermor highresolut confoc fluoresc microscopi speckl format ar line intranuclear mobil receptor decreas bind ar indic impair chromatin recruit ar prostatespecif antigen promot enhanc chromatin immunoprecipit inhibitor nonreceptor tyrosin kinas src akt known interact partner ar level androgen induc cellular senesc nongenom pathway induc cellular senesc aa pp aminochlorophenyl tbutylpyrazolo pyrimidin pyrimidin akt inhibitor inhibitor nonreceptor tyrosin kinas src akt known interact partner ar level androgen induc cellular senesc nongenom pathway induc cellular senesc aa lncap cell aa associ hypophosphoryl retinoblastoma suppressor express pp signal pathway not aa human pca tissu sampl aa ex vivo indic cellular senesc associ express not taken togeth indic aa exhibit novel featur inhibit ar amino carboxytermin interact armedi nuclear activ growth pca cell;Positive
fatti ester phloridzin induc apoptosi human cell alter gene express phloridzin phlorizin phloretin oglucosid known block intestin glucos absorpt anticarcinogen effect phloridzin novel deriv human cell line synthesis novel acyl deriv phloridzin six differ long chain fatti regioselect enzymat acyl candida antarctica lipas antiprolif effect new compound parent compound phloridzin aglycon phloretin six free fatti chemotherapeut sorafenib doxorubicin daunorubicin human hepatocellular carcinoma hepg cell human breast adenocarcinoma mdamb cell acut monocyt leukemia thp cell normal human hepatocyt fatti ester phloridzin inhibit growth carcinoma leukemia cell dose not normal human hepatocyt antiprolif potenc fatti ester phloridzin compar potenc chemotherapeut fatti ester phloridzin inhibit topoisomeras iialpha activ induc phase arrest induc apoptosi via activ caspas decreas atp level mitochondri membran potenti hepg cell cell decosahexaeno dha ester phloridzin gene express rtpcr human target array antiprolif effect dha ester phloridzin down regul antiapoptot gene bcl growth receptor ebfr famili igfr igf pdgfr downstream signal partner pik akt mtor ras raf mapk cell cycl machineri cdks tert topa topb well epigenet regul hdac result fatti ester phloridzin potenti chemotherapeut effect mediat attenu express key protein involv cell cycl regul topoisomeras iialpha activ epigenet mechan cell cycl arrest apoptosi;Positive
synthet chalcon deriv potenti inhibitor secretori phospholipas cyclooxygenas lipoxygenas proinflammatori cytokin arachidon lead generat key lipid mediat play fundament role inflamm inhibit enzym involv arachidon synergist antiinflammatori effect enhanc spectrum activ seri diphenylpropenon deriv antiinflammatori activ involv inhibit secretori phospholipas cyclooxygenas soybean lipoxygenas lipopolysaccharid induc secret interleukin tnf mous raw macrophag result abov mention assay exhibit synthes compound effect inhibitor proinflammatori enzym cytokin result reveal chalcon deriv methlyamino ethanol substitut signific inhibit enzym cytokin molecular dock carri out elucid molecular aspect inhibitori activ compound chalcon deriv serv start point design improv antiinflammatori agent;Positive
verbascosid promot apoptosi regul hipkp signal human role hipkp signal pathway tumorigenesi resist verbascosid vb crc vivo vitro primari human crc sampl normal intestin tissu patient hipk express immunohistochemistri ihc express correl against patient clinicopatholog characterist human crc hct cell implant balb nude mice mice xenograft random vehicl control vb fluorouracil fu hipk bax bcl express ihc vitro effect vb crc cell prolifer apoptosi measur cck assay flow cytometri hipk pp bax bcl measur western blot ihc human crc sampl normal intestin tissu hipk express invers correl duke stage depth invas crc vivo inhibit rate vb crc xenograft accompani express hipk bax decreas bcl express vitro vb inhibit prolifer crc cell line hct ht lovo sw dosedepend manner apoptosi rate vb hct cell ht cell summari vb enhanc protein express proapoptot hipk pp bax decreas antiapoptot bcl express crc cell hipk protein modul phosphoryl status level bax bcl crc vb effect activ hipkp signal pathway result crc cell apoptosi;Positive
natur daucan ester induc apoptosi leukaem cell ros continu research antiprolif agent plant extend interest compound isol ferula communi ferulago campestri new daucan de new deriv ph isol addit six daucan coumarin simpl cytotox activ against panel six human cell line deriv de result moder activ cell line mechan action de abl induc apoptosi concentrationdepend manner sem jurkat cell line de aftesrh ros coincub de ros scaveng cell viabil rosmedi downstream signal essenti antiprolif effect de later incub de induc mitochondri depolar well caspas activ apoptosi mitochondri pathway concomit ros remark decreas mrna express antioxid enzym intracellular gsh content detect cell compar control indic taken togeth result daucan ester induc apoptot cell death rosmedi mechan human leukemia cell;Positive
novel chalcon deriv hypoxiainduc hif inhibitor synthesi antiinvas antiangiogen properti novel seri chalcon deriv synthes biolog activ against hif compound exhibit clear inhibitori effect hif downregul express hifalpha hypox condit meanwhil suppress vegf induc migrat invas hepb huvec cell nontox addit tube format assay demonstr antiangiogenesi activ moreov vivo indic compound retard growth hepb xenograft model cd mmp express tissu final acut intraven well toler nontox up swiss mice support antiinvas antiangiogen potenti compound hif inhibitor;Positive
anthraquinonechalcon hybrid synthesi preliminari antiprolif dnainteract novel anthraquinon chalcon compound synthes start acetylanthraquinon claisenschmidt anticanc potenti against human cell line compound promis activ inhibit hela cell ic low cytotox against healthi mrc cell line effect compound produc cell cycl flow cytometri accumul cell phase dosedepend manner induc caspasedepend apoptosi compound exhibit calf thymus dnabind activ bind constant absorpt titrat mand ctdna ctdna ctdna togeth fluoresc displac design strong minor groov binder;Positive
hydroxynaphthochalcon hnc inhibit tnf induc invas downregul nfkbmediat mmp gene express control metastasi success prevent evid indic natur synthet chalcon exhibit antimetastat activ inhibit nuclear factorkb nfkb precis mechan occur hydroxynaphthochalcon hnc tnf tnf induc mmp mrna express gelatinolyt enzym activ action associ inhibit rela nfkb activ addit hnc inhibit tnf induc invas mdamb breast cell threedimension spheroid invas assay taken togeth demonstr hnc prevent tnf induc cell invas downregul nfkbmediat mmp gene express therebi naphthochalcon potenti effect molecul platform antimetastat agent;Positive
estradiol agonist inhibit human lovo colorectalcanc cell prolifer migrat effect betaestradiol via esr er direct er agonist human lovo cell bioresourc research center cultur redfre dmem sigma unit state effect er agonist cellular prolifer lovo cell erselect agonist subject mtt sigma assay effect er agonist cell western immunoblot out diversif signal pathway motil migrat wound heal assay transwel chamber neuro probe plate tase quantit measur count migrat cell wound area postwound cellular migrationregul urokinasetyp plasminogen activ upa tissuetyp plasminogen activ tpa matrix metalloproteinas mmp human lovo cell gelatin zymographi gelatinolyt activ visual coomassi blue stain result mean se statist student ttest structur compar er agonist lovo cell er agonist mol measur cell viabil mtt assay result betaestradiol er agonist human lovo cell activ upregul protein level inhibit downstream target gene cyclin regul cell prolifer taken togeth demonstr antitumorigenesi effect betaestradiol er agonist compound prove potenti altern human result demonstr betaestradiol er agonist downregul migrationrel protein signal pathway human lovo cell play role betaestradiol er agonistmedi protect activ against addit betaestradiol er agonist dramat inhibit cell migrat express upa tpa mmp well mmp activ lovo cell regul cell metastasi moreov pretreat inhibitor block antimigr effect er agonist lovo cell er agonist impair lovo cell migrat modul migrationrel via suppressor gene direct er prove attract altern human futur;Positive
carotenoid profil antiprolif activ foxtail millet common consum foxtail millet varieti jingu jingu compar term phytochem antioxid properti antiprolif activ cellular antioxid activ caa hepg cell cultiv antiprolif properti against hepg mda cell assay methylen blue assay total content tpc gallic equiv dw jingu jingu varieti ferul chlorogen caffeic pcoumar syring xanthophyl zeaxanthin detect peroxyl scaveng capac foxtail millet jingu jingu mol equiv caa foxtail millet varieti mol quercetin equiv dw prolifer mda hepg cell inhibit dosedepend manner after exposur jingu jingu extract;Positive
inhibit autophagi enhanc curcumin unit light irradi induc growth suppress human cell malign aggress skin carcinoma possess fast propag invas characterist curcumin natur compound biolog activ antiprolif apoptosisacceler impact cell unfortun therapeut activ cur sever hinder extrem low bioavail cooper low cur red unit blue light irradi perform inspect synergist effect apoptosi prolifer autophagi human cell result red unit blue light irradi efficaci synerg cur trigger stressmedi cell death induc apoptosi inhibit cell prolifer meanwhil western blot reveal disposur induc format autophagosom convers inhibit autophagi enhanc apoptosi obstruct cell cycl arrest induc revers prolifer arrest senesc cur red unit blue light irradi generat photochemoprevent effect via enhanc apoptosi trigger autophagi pharmacolog inhibit autophagi convert revers arrest cell senesc damag cell escap program death;Positive
structur effect flavonoid aglycon cell cycl hepg cell activ fisetin quercetin catecholomethyltransferas comt flavonoid abund plant kingdom extens manifold pharmacolog activ highlight cell cycl arrest play key role antiprolif effect differ cell structureact flavonoid poor influenc flavonoid aglycon well cell cycl distribut flavonoid extens cell hepg cell line appli potenti activ inactiv flavonoid test compound diosmetin fisetin apigenin lutelin quercetin provok spectacular extent phase cell cycl arrest inhibit catecholomethyltransferas enzym entacapon decreas antiprolif effect fisetin quercetin geraldol isorhamnetin omethyl fisetin quercetin demonstr antiprolif effect hepg cell compar parent compound result omethyl flavonoid modifi deriv suitabl candid ;Positive
curcumin inhibit ho induc invas migrat human pancreat via suppress erk nfkb pathway curcumin diferuloylmethan natur turmer possess spectrum pharmacolog properti antioxid antitumor metastat activ mechan curcumin suppress metastasi pancreat still not fulli elucid demonstr moder amount hydrogen peroxid ho abl promot pancreat invas curcumin suppress ho induc invas migratori abil human pancreat bxpc panc cell expos ho curcumin nacetylcystein nac scaveng free effect curcumin pancreat cell prolifer mtt assay intracellular ros ros dichlorodihydrofluorecein diacet cellular invas migratori abil transwel matrigel invas assay wound heal assay express matrix metalloproteinas mmp mmp qtpcr western blot mrna protein level activ pextracellular signalregul kinas erk pnuclear factorkb nfkb measur western blot curcumin inhibit cell prolifer dosedepend manner curcumin nac abl inhibit ho induc ros migrat invas decreas express mmp mmp pancreat cell addit hoinduc perk pnfkb bxpc panc cell curcumin nac pd erk inhibitor indic curcumin suppress pancreat migrat invas inhibit ros erk nfkb signal pathway curcumin potenti anticanc agent pancreat ;Positive
halogen naphthochalcon structur naphthopyrazolin antitumor activ halodimethoxyphenyl naphthylpropenon structur pyrazolin prepar vitro anticanc activ chalcon antiprolif low doubledigit micromolar ic against six cell line pyrazolin low singledigit micromolar ic against panel pyrazolin inhibit atpbind cassett efflux transport type pgp bcrp chalcon inhibit bcrp test compound induc accumul ht colon carcinoma cell phase cell cycl interf microtubul factin dynam chalcon induc apoptosi cell aftesrh;Positive
acryloylphenylcarboxamid new breast resist protein abcg modul chalcon easili synthes natur precursor secondari plant deriv biolog activ inhibit abc transport role inhibitor abcg discov abc transport involv multidrug resist inspir synthesi new structur divers deriv typic chalcon moieti chlorid amid linker ringa chalcon result compound cover spectrum substitut pattern allow structureact optim structur featur synthes acryloylphenylcarboxamid inhibitori activ against abcg behavior abcb abcc furthermor promis compound intrins cytotox abil revers abcgmedi multidrug resist ;Positive
preclin valid molecul quininib novel therapeut crc lead death molecular target eg bevacizumab improv surviv rate resist ultim newer requir quininib molecul antiangiogen activ vitro ex vivo vivo screen model quininib quinolinyl vinyl molecul molecular mol inhibit blood vessel zebrafish embryo vitro quininib endotheli tubul format cell migrat unaffect quininib cell surviv quininib ex vivo human crc explant quininib secret il il vegf ena groalpha tnf ilbeta mcp ex vivo quininib well toler mice administ intraperiton everi growth htluc crc xenograft compar vehicl control addit quininib signal alphavbeta integrin fluoresc probe after indic angiogen inhibit furthermor quininib express angiogen gene xenograft support quininib novel therapeut agent crc;Positive
design synthesi cytotox activ certain novel chalcon analog compound seri chalcon analog compound design synthes replac substitut enon ethylen bridg parent chalcon rigid heterocycl moieti substitut amin gave nineteen target compound cytotox activ screen against breast cell well breast normal cell target compound inhibit activ tubulin beta polymer target compound ad broad spectrum excel anticanc activ against mcf hepg compound tubb inhibit activ;Positive
design synthesi activ novel sorafenib analogu bear chalcon unit seri sorafenib deriv nmethylpicolinamideoxi chalcon ao ae synthes nmr ms target compound cytotox against hepg mcf pc cell line compound activ against vegfr kdr braf kinas result indic compound moder good antitumor activ compound well cytotox activ against hepg mcf pc cell line ic activ sorafenib compound good activ vegfr kdr kinas ic structureact sar dock indic replac urea sorafenib chalcon keton improv cytotox activ result halogen br methoxi substitut substitut benefit activ;Positive
molecular mechan antimetastat activ curcumin lead death occur local diseas morbid mortal rate abil cell breakoff primari spread distant organ main proport drugresist cell unpleas sideeffect still challeng curcumin natur compound main bioactiv constitu indian spice turmer indian chines medicin curcumin wellknown therapeut action antiinflammatori antimicrobi antioxid anticanc properti curcumin induc cell apoptosi regul signal pathway arrest cell cycl curcumin therapeut prevent action metastat not yet fulli understood review potenti antimetastat mechan curcumin inhibit transcript signal pathway eg nfkb app stat cytokin eg cxcl cxcl il il proteas eg upa mmps protein kinas eg mapk fak regul mirna eg mir mirb heat shock protein hlj addit synergist action curcumin discuss review;Positive
novel synthet chalcon induc apoptosi nonsmal cell lung cell harbor kras mutat seri novel chalcon synthes claisenschmidt condens tetralon indolecarboxaldehyd human lung cell line harbor kras mutat chalcon induc dosedepend apoptosi cell cycl analys western blot role chalcon interrupt transit cell cycl sar demonstr substitu indol atom anticanc activ chalcon methyl ethyl activ compound ec nm compound activ cell ec nm pc pancreat clr pan cell furthermor compound induc apoptosi lung cell ec did not measur normal lung bronchial epitheli cell hbec dose indic specif cell;Positive
apoptot effect chalcon deriv acetylthiophen human breast cell varieti chalcon demonstr cytotox activ cell line cytotox chalcon deriv acetylthiophen human breast cell line mcf mdamb cell synthes chalcon cytotox tetrazolium dye mtt live dead dapi assay chalcon decreas mcf mdamb cell viabil vitro dose depend manner after ic chalcon display cytotox activ test compound cytotox effect compound confirm live dead assay addit dapi stain reveal compound induc death apoptosi specul chalcon deriv acetylthiophen sourc therapeut agent human breast ;Positive
capsaicin synerg camptothecin induc apoptosi human cell lung via calpain pathway cell lung sclc excel radiat patient show shrinkag even remiss challeng sclc patient inevit relaps not respond line clinic camptothecinbas line sclc patient convent camptothecin recurr sclc poor surviv outcom improv therapeut index camptothecin valuabl sclc extens evid nutrit compound like capsaicin spici compound chili pepper improv anticanc activ chemotherapeut cell line anim model statist capsaicin synerg camptothecin enhanc apoptosi human sclc cell synergist activ camptothecin capsaicin classic variant sclc cell line vivo human sclc xenotranspl chicken chorioallanto membran cam model synergist activ capsaicin camptothecin mediat intracellular calcium calpain pathway foster hope novel nutrit sclc;Positive
design synthesi biolog coupl bioactiv scaffold potenti anticanc agent dual target dihydrofol reductas thioredoxin reductas dihydrofol reductas dhfr thioredoxin reductas trxr enzym involv cell growth surviv diaminodihydrotriazin scaffold wellestablish scaffold dhfr inhibit chalcon report inhibitor trxr novel compound design structur diaminodihydrotriazin chalcon scaffold via diether linker success synthes compound demonstr dual inhibit against dhfr trxr vitro enzym assay compound exhibit antiprolif activ against mcf hct cell potent analog inhibit cellular dhfr trxr activ hct cell compel evid exert anticanc properti via multitarget inhibit cellular level;Positive
ascofuranon inhibit lipopolysaccharid induc via nfkappab ap perk tnf il ilbeta raw macrophag natur fungal compound ascofuranon chloro ee dimethyloxotetrahydrofuranyl methyloctadienyl dihydroxymethylbenzaldehyd mw af isol ascochyta vicia known promot cell cycl arrest inhibit invas cell structur compound ascochlorin asc mw regard antiinflammatori activ lps raw macrophag antiinflammatori activ molecular differ af asc activ af asc uniqu trimethyl oxocyclohexyl structur af uniqu dimethyloxotetrahydrofuran structur af dosedepend inhibit ino cox mrna protein level raw cell addit af suppress mrna express level cytokin tnf il ilbeta rtpcr af clear inhibit nuclear transloc nfkb ap pcjun cytosol space phosphoryl ikb maintain activ nfkb decreas af moreov af suppress bind nfkb inhibit ikba phosphoryl degrad inhibit nuclear transloc immunofluoresc confoc microscopi reveal transloc nfkb ap pcjun decreas af af specif decreas express level perk not express level pp pjnk result af suppress target perk indic af regul lpsstimul nuclear transloc nfkb ap pcjun raw macrophag specif target perk af asc exert effect differ way probabl structur differ allow specif recognit inhibit target mapk result af natur bioactiv compound inflammationmedi patholog diseas;Positive
synthesi biolog novel pyrazol chalcon deriv novel hepatocellular carcinoma therapeut despit second mortal associ sorafenib fdaapprov chemotherapeut agent avail patient improv surviv few month pyrazol chalcon analog compound synthes potenti chemotherapeut agent hepatocellular carcinoma hcc modifi central pyrazol ring differ heteroaryl ring substitut pyrazol differ substitut chalcon moieti produc fouthi variant compound compound cytotox sulforhodamin assay real cell growth track inhibitori ic compound exhibit potent cytotox activ against cell line test cytotox activ wellknown chemotherapeut fu compound chosen panel hcc cell line flow cytometr hcc cell compound demonstr compound cell cycl arrest phase apoptot cell death impair cell growth realtim cell growth surveil consist result western blot hcc cell compound result molecular chang cell cycl protein where level independ level key mitosi cyclin cdk decreas chalcon deriv potent bioactiv modul express cellcycl protein result cellcycl arrest hcc cell line test indic compound preclin candid;Positive
pentabromophenol suppress tgfb signal acceler degrad type ii tgfb receptor via caveolaemedi endocytosi pentabromophenol pbp bromin flame retard bfr consum bfrs exert advers health effect neurotox endocrinedisrupt effect pbp suppress tgfb acceler turnov rate tgfb receptor pbp suppress tgfbmediat cell migrat pai promoterdriven report gene activ smad phosphoryl cell type furthermor pbp abolish tgfbmediat repress ecadherin express addit vimentin express ncadherin fibronectin upregul block tgfb induc epithelialmesenchym transit nmumg cell inhibit not congen tribromophenol triiodophenol tgfb superfamili member play key role regul biolog cell prolifer migrat well result vitro detail pbp modul tgfb signal pbp bfrs polybromin diphenyl ether pbdes addit laboratori mechanist perform bfrs potenti risk tumorigenesi tgfbrelat diseas;Positive
